episode,step,roll,tiles_before,legal_moves,chosen_move,tiles_after,remaining_sum_after,terminal,final_score
0,0,4,123456789,4;1+3,1+3,X2X456789,37,False,41
0,1,6,X2X456789,6;2+4,6,X2X45X789,29,False,35
0,2,2,X2X45X789,2,2,XXX45X789,31,False,33
0,3,9,XXX45X789,9;4+5,4+5,XXXXXX789,15,False,24
0,4,7,XXXXXX789,7,7,XXXXXXX89,10,False,17
0,5,6,XXXXXXX89,,,XXXXXXX89,17,True,17
1,0,10,123456789,1+9;2+8;3+7;4+6,1+9,X2345678X,25,False,35
1,1,5,X2345678X,5;2+3,5,X234X678X,25,False,30
1,2,7,X234X678X,7;3+4,3+4,X2XXX678X,16,False,23
1,3,7,X2XXX678X,7,7,X2XXX6X8X,9,False,16
1,4,6,X2XXX6X8X,6,6,X2XXXXX8X,4,False,10
1,5,5,X2XXXXX8X,,,X2XXXXX8X,10,True,10
2,0,8,123456789,8;1+7;2+6;3+5,3+5,12X4X6789,29,False,37
2,1,9,12X4X6789,9;1+8;2+7,9,12X4X678X,19,False,28
2,2,4,12X4X678X,4,4,12XXX678X,20,False,24
2,3,7,12XXX678X,7;1+6,1+6,X2XXXX78X,10,False,17
2,4,12,X2XXXX78X,,,X2XXXX78X,17,True,17
3,0,8,123456789,8;1+7;2+6;3+5,8,1234567X9,29,False,37
3,1,4,1234567X9,4;1+3,1+3,X2X4567X9,29,False,33
3,2,7,X2X4567X9,7;2+5,2+5,XXX4X67X9,19,False,26
3,3,8,XXX4X67X9,,,XXX4X67X9,26,True,26
4,0,7,123456789,7;1+6;2+5;3+4,2+5,1X34X6789,31,False,38
4,1,8,1X34X6789,8;1+7,8,1X34X67X9,22,False,30
4,2,6,1X34X67X9,6,6,1X34XX7X9,18,False,24
4,3,6,1X34XX7X9,,,1X34XX7X9,24,True,24
5,0,7,123456789,7;1+6;2+5;3+4,1+6,X2345X789,31,False,38
5,1,11,X2345X789,2+9;3+8;4+7,4+7,X23X5XX89,16,False,27
5,2,6,X23X5XX89,,,X23X5XX89,27,True,27
6,0,10,123456789,1+9;2+8;3+7;4+6,2+8,1X34567X9,25,False,35
6,1,5,1X34567X9,5;1+4,1+4,XX3X567X9,25,False,30
6,2,4,XX3X567X9,,,XX3X567X9,30,True,30
7,0,9,123456789,9;1+8;2+7;3+6;4+5,4+5,123XX6789,27,False,36
7,1,8,123XX6789,8;1+7;2+6,1+7,X23XX6X89,20,False,28
7,2,7,X23XX6X89,,,X23XX6X89,28,True,28
8,0,5,123456789,5;1+4;2+3,2+3,1XX456789,35,False,40
8,1,2,1XX456789,,,1XX456789,40,True,40
9,0,4,123456789,4;1+3,4,123X56789,37,False,41
9,1,6,123X56789,6;1+5,6,123X5X789,29,False,35
9,2,10,123X5X789,1+9;2+8;3+7,2+8,1X3X5X7X9,15,False,25
9,3,4,1X3X5X7X9,1+3,1+3,XXXX5X7X9,17,False,21
9,4,5,XXXX5X7X9,5,5,XXXXXX7X9,11,False,16
9,5,10,XXXXXX7X9,,,XXXXXX7X9,16,True,16
10,0,9,123456789,9;1+8;2+7;3+6;4+5,3+6,12X45X789,27,False,36
10,1,11,12X45X789,2+9;4+7,2+9,1XX45X78X,14,False,25
10,2,6,1XX45X78X,1+5,1+5,XXX4XX78X,13,False,19
10,3,11,XXX4XX78X,4+7,4+7,XXXXXXX8X,-3,False,8
10,4,6,XXXXXXX8X,,,XXXXXXX8X,8,True,8
11,0,8,123456789,8;1+7;2+6;3+5,8,1234567X9,29,False,37
11,1,5,1234567X9,5;1+4;2+3,5,1234X67X9,27,False,32
11,2,9,1234X67X9,9;2+7;3+6,3+6,12X4XX7X9,14,False,23
11,3,4,12X4XX7X9,4,4,12XXXX7X9,15,False,19
11,4,11,12XXXX7X9,2+9,2+9,1XXXXX7XX,-3,False,8
11,5,11,1XXXXX7XX,,,1XXXXX7XX,8,True,8
12,0,4,123456789,4;1+3,4,123X56789,37,False,41
12,1,4,123X56789,1+3,1+3,X2XX56789,33,False,37
12,2,4,X2XX56789,,,X2XX56789,37,True,37
13,0,7,123456789,7;1+6;2+5;3+4,3+4,12XX56789,31,False,38
13,1,8,12XX56789,8;1+7;2+6,8,12XX567X9,22,False,30
13,2,7,12XX567X9,7;1+6;2+5,2+5,1XXXX67X9,16,False,23
13,3,6,1XXXX67X9,6,6,1XXXXX7X9,11,False,17
13,4,3,1XXXXX7X9,,,1XXXXX7X9,17,True,17
14,0,9,123456789,9;1+8;2+7;3+6;4+5,2+7,1X3456X89,27,False,36
14,1,5,1X3456X89,5;1+4,1+4,XX3X56X89,26,False,31
14,2,5,XX3X56X89,5,5,XX3XX6X89,21,False,26
14,3,11,XX3XX6X89,3+8,3+8,XXXXX6XX9,4,False,15
14,4,6,XXXXX6XX9,6,6,XXXXXXXX9,3,False,9
14,5,4,XXXXXXXX9,,,XXXXXXXX9,9,True,9
15,0,7,123456789,7;1+6;2+5;3+4,1+6,X2345X789,31,False,38
15,1,6,X2345X789,2+4,2+4,XX3X5X789,26,False,32
15,2,10,XX3X5X789,3+7,3+7,XXXX5XX89,12,False,22
15,3,6,XXXX5XX89,,,XXXX5XX89,22,True,22
16,0,8,123456789,8;1+7;2+6;3+5,2+6,1X345X789,29,False,37
16,1,9,1X345X789,9;1+8;4+5,4+5,1X3XXX789,19,False,28
16,2,7,1X3XXX789,7,7,1X3XXXX89,14,False,21
16,3,10,1X3XXXX89,1+9,1+9,XX3XXXX8X,1,False,11
16,4,9,XX3XXXX8X,,,XX3XXXX8X,11,True,11
17,0,7,123456789,7;1+6;2+5;3+4,2+5,1X34X6789,31,False,38
17,1,12,1X34X6789,3+9;4+8,4+8,1X3XX67X9,14,False,26
17,2,9,1X3XX67X9,9;3+6,9,1X3XX67XX,8,False,17
17,3,2,1X3XX67XX,,,1X3XX67XX,17,True,17
18,0,2,123456789,2,2,1X3456789,41,False,43
18,1,2,1X3456789,,,1X3456789,43,True,43
19,0,7,123456789,7;1+6;2+5;3+4,2+5,1X34X6789,31,False,38
19,1,7,1X34X6789,7;1+6;3+4,3+4,1XXXX6789,24,False,31
19,2,6,1XXXX6789,6,6,1XXXXX789,19,False,25
19,3,6,1XXXXX789,,,1XXXXX789,25,True,25
20,0,8,123456789,8;1+7;2+6;3+5,3+5,12X4X6789,29,False,37
20,1,9,12X4X6789,9;1+8;2+7,9,12X4X678X,19,False,28
20,2,8,12X4X678X,8;1+7;2+6,8,12X4X67XX,12,False,20
20,3,7,12X4X67XX,7;1+6,1+6,X2X4XX7XX,6,False,13
20,4,11,X2X4XX7XX,4+7,4+7,X2XXXXXXX,-9,False,2
20,5,6,X2XXXXXXX,,,X2XXXXXXX,2,True,2
21,0,4,123456789,4;1+3,4,123X56789,37,False,41
21,1,8,123X56789,8;1+7;2+6;3+5,2+6,1X3X5X789,25,False,33
21,2,5,1X3X5X789,5,5,1X3XXX789,23,False,28
21,3,9,1X3XXX789,9;1+8,9,1X3XXX78X,10,False,19
21,4,7,1X3XXX78X,7,7,1X3XXXX8X,5,False,12
21,5,7,1X3XXXX8X,,,1X3XXXX8X,12,True,12
22,0,8,123456789,8;1+7;2+6;3+5,2+6,1X345X789,29,False,37
22,1,3,1X345X789,3,3,1XX45X789,31,False,34
22,2,7,1XX45X789,7,7,1XX45XX89,20,False,27
22,3,6,1XX45XX89,1+5,1+5,XXX4XXX89,15,False,21
22,4,6,XXX4XXX89,,,XXX4XXX89,21,True,21
23,0,8,123456789,8;1+7;2+6;3+5,1+7,X23456X89,29,False,37
23,1,5,X23456X89,5;2+3,2+3,XXX456X89,27,False,32
23,2,8,XXX456X89,8,8,XXX456XX9,16,False,24
23,3,6,XXX456XX9,6,6,XXX45XXX9,12,False,18
23,4,9,XXX45XXX9,9;4+5,9,XXX45XXXX,0,False,9
23,5,9,XXX45XXXX,4+5,4+5,XXXXXXXXX,-9,False,0
23,6,0,XXXXXXXXX,,,XXXXXXXXX,0,True,0
24,0,8,123456789,8;1+7;2+6;3+5,8,1234567X9,29,False,37
24,1,7,1234567X9,7;1+6;2+5;3+4,7,123456XX9,23,False,30
24,2,6,123456XX9,6;1+5;2+4,2+4,1X3X56XX9,18,False,24
24,3,8,1X3X56XX9,3+5,3+5,1XXXX6XX9,8,False,16
24,4,9,1XXXX6XX9,9,9,1XXXX6XXX,-2,False,7
24,5,5,1XXXX6XXX,,,1XXXX6XXX,7,True,7
25,0,7,123456789,7;1+6;2+5;3+4,1+6,X2345X789,31,False,38
25,1,3,X2345X789,3,3,X2X45X789,32,False,35
25,2,5,X2X45X789,5,5,X2X4XX789,25,False,30
25,3,2,X2X4XX789,2,2,XXX4XX789,26,False,28
25,4,7,XXX4XX789,7,7,XXX4XXX89,14,False,21
25,5,2,XXX4XXX89,,,XXX4XXX89,21,True,21
26,0,9,123456789,9;1+8;2+7;3+6;4+5,3+6,12X45X789,27,False,36
26,1,3,12X45X789,1+2,1+2,XXX45X789,30,False,33
26,2,4,XXX45X789,4,4,XXXX5X789,25,False,29
26,3,8,XXXX5X789,8,8,XXXX5X7X9,13,False,21
26,4,9,XXXX5X7X9,9,9,XXXX5X7XX,3,False,12
26,5,7,XXXX5X7XX,7,7,XXXX5XXXX,-2,False,5
26,6,8,XXXX5XXXX,,,XXXX5XXXX,5,True,5
27,0,7,123456789,7;1+6;2+5;3+4,3+4,12XX56789,31,False,38
